PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,
Jeff Teague (10005424),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,1. Locate the player you want to select in the list below ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Doug McDermott (10005614),,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Andrew Wiggins (10005439),Russell Westbrook (10005340),,3. Paste the ID into the roster position desired ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Jae Crowder (10005653),,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Dario Saric (10005412),Klay Thompson (10005404),Paul George (10005395),Russell Westbrook (10005340),,5. You can create up to 500 lineups per file ,,,,,,,
Russell Westbrook (10005340),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Jayson Tatum (10005453),Klay Thompson (10005404),,,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF/PF,Kyle Kuzma (10005381),Kyle Kuzma,10005381,SF,7300,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,PF/C,Draymond Green (10005385),Draymond Green,10005385,PF,7200,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SG,Bradley Beal (10005389),Bradley Beal,10005389,SG,7000,WAS@BOS 12/25/2017 05:30PM ET,WAS
,,,,,,,,,PG,Lonzo Ball (10005392),Lonzo Ball,10005392,PG,6900,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,SF,Paul George (10005395),Paul George,10005395,SF,6800,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,PF/C,Al Horford (10005398),Al Horford,10005398,PF,6700,WAS@BOS 12/25/2017 05:30PM ET,BOS
,,,,,,,,,C,Clint Capela (10005402),Clint Capela,10005402,C,6600,HOU@OKC 12/25/2017 08:00PM ET,HOU
,,,,,,,,,SG,Klay Thompson (10005404),Klay Thompson,10005404,SG,6400,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SG/SF,Brandon Ingram (10005407),Brandon Ingram,10005407,SG,6300,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,PF/C,Dario Saric (10005412),Dario Saric,10005412,PF,6200,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,SF/PF,Robert Covington (10005416),Robert Covington,10005416,SF,6100,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,PF/C,Enes Kanter (10005420),Enes Kanter,10005420,PF,6100,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,PG,Jeff Teague (10005424),Jeff Teague,10005424,PG,6000,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,PG,Isaiah Thomas (10005427),Isaiah Thomas,10005427,PG,6000,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,SG/SF,Tim Hardaway Jr. (10005430),Tim Hardaway Jr.,10005430,SG,5900,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,PF/C,Taj Gibson (10005435),Taj Gibson,10005435,PF,5800,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,SG/SF,Andrew Wiggins (10005439),Andrew Wiggins,10005439,SG,5700,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,SG,Eric Gordon (10005446),Eric Gordon,10005446,SG,5600,HOU@OKC 12/25/2017 08:00PM ET,HOU
,,,,,,,,,SF/PF,Carmelo Anthony (10005449),Carmelo Anthony,10005449,SF,5600,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,C,Steven Adams (10005444),Steven Adams,10005444,C,5500,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,SF/PF,Jayson Tatum (10005453),Jayson Tatum,10005453,SF,5400,WAS@BOS 12/25/2017 05:30PM ET,BOS
